,,,,,,,,,,,,,,,,,
"LogisticsLOG OceanMost firms' spend isn't large enough to attract CEP providers, but a purchasing consortium like CoreTrust bundles volumes from multiple participants to negotiate significant savings, with no major prerequisites besides joining the pool.",116,Logistics,LOG Ocean,,,"To what extent do you use expressive bidding elements (alternative contract lenghts / sailing time, bundle / volume discounts, etc.)?",Not at all,Somewhat,To a large extent,Exclusively,1%,1%,0.5%-1.0%,"Most firms' spend isn't large enough to attract CEP providers, but a purchasing consortium like CoreTrust bundles volumes from multiple participants to negotiate significant savings, with no major prerequisites besides joining the pool.",Leverage Competition Among Suppliers, Consolidate Volume, Utilize purchasing consortia
LogisticsCEP LogisticsIncorporate strategic bidding to optimize supplier selection and pricing.,117,Logistics,CEP Logistics,,,To what extent do you use game-theoretical elements during RFPs?,Not at all,Somewhat,To a large extent,Exclusively,1%,1%,0.5%-1.0%,Incorporate strategic bidding to optimize supplier selection and pricing.,Leverage Competition Among Suppliers, Competitive Bidding, Strategic bidding
"Office SuppliesNAReducing demand by changing the setup and perception of office material use is a powerful way to save money. This can include reducing office printers, eliminating paper waste baskets, implementing a policy requiring signatures, and training employees to use laptops instead of pen and paper.",118,Office Supplies,NA,,,To which degree are demand measures implemented?,"No definition of demand measures, employees can take all items they wish",Request only through assistants for various matters,People are advised to write notes on laptops rather to print on papers,Strict demand management - per year ZBB levers are applied and target of reducing spend/ material is further given,2%,4%,2.0%-4.0%,"Reducing demand by changing the setup and perception of office material use is a powerful way to save money. This can include reducing office printers, eliminating paper waste baskets, implementing a policy requiring signatures, and training employees to use laptops instead of pen and paper.",Change the Nature of Demand,Reduce Consumption,Implement demand reduction policies
TravelTravel Management AgencyTender travel agencies every 2-3 years for competitiveness or benchmark after 5 years and negotiate.,119,Travel,Travel Management Agency,,,Travel agency: When was the last time travel agency was tendered?,Never,> 5 years ago,>2 years ago,Last year,3%,5%,2.5%-5.0%,Tender travel agencies every 2-3 years for competitiveness or benchmark after 5 years and negotiate.,Leverage Competition Among Suppliers, Competitive Bidding, Regular tendering/benchmarking (travel agencies)
"TravelTravel Management AgencyChoosing the right pricing agreements aligns costs with usage, optimizing travel expenses.",120,Travel,Travel Management Agency,,,Travel agency: Which of the following pricing agreements are included in the contract?,Online & offline rates,No. 1 & Volume discount and signing fee,No. 2 & Guaranteed online bookings (ca. 80%),all of before + free negotiation of the modes ,3%,5%,2.5%-5.0%,"Choosing the right pricing agreements aligns costs with usage, optimizing travel expenses.",Leverage Competition Among Suppliers, Target Pricing & Cost Models, Optimize pricing agreements (travel)
ITServer & StorageDefine a cost model for SLA/service catalogue to prevent inflationary use by the business by reducing service levels.,121,IT,Server & Storage,,,What %  of server & storage do you have a clear classification set up in regards to SLAs?,<20%,20-60%,60-80%,80-100%,3%,5%,2.5%-5.0%,Define a cost model for SLA/service catalogue to prevent inflationary use by the business by reducing service levels.,Change the Nature of Demand, Optimize Service Levels, Define cost model for SLAs
MarketingEventsTransition in-person events to online formats.,122,Marketing,Events,,,What % (by spend) of current events can be moved to virtual setting?,30-50%,20-30%,10-20%,<10%,2%,3%,1.5%-3.0%,Transition in-person events to online formats.,Change the Nature of Demand, Reduce Consumption, Shift to online formats (events)
MarketingTraditional MediaAre all targeted audiences and their corresponding CPM rates specified by the agency upfront?,123,Marketing,Traditional Media,,,What % (in terms of spend behind) of pursued audiences have CPMs provided during pitch?,None,Some (~50%),Majority (~75%),All (there was no change of pursued audiences since last pitch),4%,8%,4.0%-8.0%,Are all targeted audiences and their corresponding CPM rates specified by the agency upfront?,Manage Spend, Control Compliance, Ensure upfront rate transparency (media)
"MarketingEventsOutput-based work packages focus on delivering specific results or outcomes rather than just completing tasks, ensuring that the work is aligned with the desired end goals.",124,Marketing,Events,,,"What % of agency fee is linked to pre-established and competitively priced work packages, created with should cost behind it under competitve pressure?",Low (<25% of agency spend),Some (25%-40%),Good amount (40%-60%),Significant (>60%),1%,2%,1.0%-2.0%,"Output-based work packages focus on delivering specific results or outcomes rather than just completing tasks, ensuring that the work is aligned with the desired end goals.",Manage Spend, Control Compliance, Implement output-based work packages
MarketingEventsSeparate the planning and brainstorming of events from their actual implementation.,125,Marketing,Events,,,"What % of agency-managed events (by spend) are sourced in 2 steps: step 1: for the activation idea, step 2: for execution?",Low (<25% of agency spend),Some (25%-40%),Good amount (40%-60%),Significant (>60%),1%,1%,0.5%-1.0%,Separate the planning and brainstorming of events from their actual implementation.,Manage Spend, Improve Process Efficiency, Separate planning from implementation (events)
MarketingDigital AgenciesCombine digital agency expenditures with those of creative or media agencies.,126,Marketing,Digital Agencies,,,What % of current digital agencies scope can be transferred to other agencies (e.g. creative or media agencies)?,50-40%,40-30%,30-20%,<20%,1%,2%,1.0%-2.0%,Combine digital agency expenditures with those of creative or media agencies.,Leverage Competition Among Suppliers, Consolidate Volume, Combine agency expenditures
MarketingAd ProductionIn-source selected creative assets production,127,Marketing,Ad Production,,,What % of production spend could be in-sourced to own studio?,50-40%,40-30%,30-20%,<20%,2%,3%,1.5%-3.0%,In-source selected creative assets production,Change the Nature of Demand, Reduce Consumption, Insourcing (creative assets)
ITServer & StorageImplement virtualization to minimize physical servers and reduce the number of databases and middleware in operation.,128,IT,Server & Storage,,,What % of server & storage is virtualized?,<20%,20-60%,60-80%,80-100%,3%,5%,2.5%-5.0%,Implement virtualization to minimize physical servers and reduce the number of databases and middleware in operation.,Change the Nature of Demand, Reduce Complexity, Implement virtualization
MarketingTraditional MediaImplement a P4P scheme that rewards employees for exceeding delivery standards.,129,Marketing,Traditional Media,,,What % of total agency fee is linked to agency performance?,<10%,10-20%,20-40%,>40%,1%,1%,0.5%-1.0%,Implement a P4P scheme that rewards employees for exceeding delivery standards.,Change the Nature of Demand, Optimize Labor Mix, Implement Pay-for-Performance (P4P)
"MarketingTraditional MediaImplement an effective pay-for-performance (P4P) scheme that rewards employees for good performance.

Introduce a P4P scheme that effectively rewards good performance.",130,Marketing,Traditional Media,,,What % of total agency fee is linked to agency performance?,<10%,10-20%,20-40%,>40%,2%,3%,1.5%-3.0%,"Implement an effective pay-for-performance (P4P) scheme that rewards employees for good performance.

Introduce a P4P scheme that effectively rewards good performance.",#N/A,#N/A,#N/A
"ITSoftware development and maintenanceLeverage SaaS/IaaS based solutions to the fullest, especially for standard functionalities that can be catered-to by third party SaaS/Iaas providers. This helps reduce costs associated with software maintenance, upgrades etc.",131,IT,Software development and maintenance,,,What % of used software are SaaS or IaaS-based?,<20%,20-60%,60-80%,80-100%,2%,3%,1.5%-3.0%,"Leverage SaaS/IaaS based solutions to the fullest, especially for standard functionalities that can be catered-to by third party SaaS/Iaas providers. This helps reduce costs associated with software maintenance, upgrades etc.",Change the Nature of Demand, Reduce Complexity, Leverage SaaS/IaaS solutions
FleetWay of purchasingAs a standard use Game-theory based methods e.g. auctions or supplier-days. Ensure that the teams are regularly trained in these methods.,132,Fleet,Way of purchasing,,,What approach do you use to decide the contractual agreement to be used?,We tender via asking the supplier for their best price via email,We challenge the supplier with at least one other provider,We separately negotiate the suppliers in various rounds,Highly competitive either via a supplier-days or an auctions,0%,1%,0.3%-0.5%,As a standard use Game-theory based methods e.g. auctions or supplier-days. Ensure that the teams are regularly trained in these methods.,Leverage Competition Among Suppliers, Competitive Bidding, Use game-theory based methods (auctions/supplier days)
MarketingTraditional MediaEnhance WOW by leveraging 'first-to-book media' efficiencies for optimal results.,133,Marketing,Traditional Media,,,What could be the extra efficiency gained by earlier inventory booking?,Significant,Good,Moderate,Small,1%,2%,1.0%-2.0%,Enhance WOW by leveraging 'first-to-book media' efficiencies for optimal results.,Manage Spend, Improve Process Efficiency, Enhance efficiency through early booking (media)
MarketingTraditional MediaGet AVB transparency by vendor,134,Marketing,Traditional Media,,,What granularity of AVBs is in place?,No AVBs provided,Aggregated AVB number for all media provided,Average AVBs per media type provided,By vendor by spend range for all vendors,1%,2%,1.0%-2.0%,Get AVB transparency by vendor,Manage Spend, Control Compliance, Ensure vendor transparency (AVB)
MarketingTraditional MediaObtain AVB transparency specific to each vendor.,135,Marketing,Traditional Media,,,What granularity of AVBs is in place?,No AVBs provided,Aggregated AVB number for all media provided,Average AVBs per media type provided,By vendor by spend range for all vendors,2%,3%,1.5%-3.0%,Obtain AVB transparency specific to each vendor.,Manage Spend, Control Compliance, Ensure vendor transparency (AVB)
"MarketingCreative AgenciesOutsource non-strategic services like DTP, BTL adaptation, and translation to more cost-effective agencies.",136,Marketing,Creative Agencies,,,What is current level of agency services provided by strategic creative agencies that can be transferred out to cheaper agencies?,50-40%,40-30%,30-20%,<20%,2%,3%,1.5%-3.0%,"Outsource non-strategic services like DTP, BTL adaptation, and translation to more cost-effective agencies.",Seek Joint Advantage with Suppliers, Outsourcing, Outsource non-strategic services
"MarketingCreative AgenciesThe selected agency oversees in-source activities, including project management, resource allocation, and performance evaluation.",137,Marketing,Creative Agencies,,,What is current level of agency services that can be insourced (for every Euro of activities that can be transferred savings could be 40% on average)?,25-20%,20-15%,15-10%,<10%,1%,2%,1.0%-2.0%,"The selected agency oversees in-source activities, including project management, resource allocation, and performance evaluation.",Seek Joint Advantage with Suppliers, Joint Process Improvement, Agency-managed insourcing
MarketingDigital AgenciesThe Lever Description outlines activities managed by the selected agency for in-sourcing,138,Marketing,Digital Agencies,,,What is current level of agency services that can be insourced (for every Euro of actvivities that can be transferred savings could be 40% on average)?,25-20%,20-15%,15-10%,<10%,1%,2%,1.0%-2.0%,The Lever Description outlines activities managed by the selected agency for in-sourcing,Seek Joint Advantage with Suppliers, Joint Process Improvement, Agency-managed insourcing
MarketingOnline MediaStreamline digital banner expenditures and unify media agency efforts.,139,Marketing,Online Media,,,What is current share of digital display spend that goes via the biggest agency?,<40%,40-60%,60-80%,>80%,4%,8%,4.0%-8.0%,Streamline digital banner expenditures and unify media agency efforts.,Leverage Competition Among Suppliers, Consolidate Volume, Streamline digital media spend
MarketingTraditional MediaStreamline media expenditures and agency partnerships.,140,Marketing,Traditional Media,,,What is current share of spend that goes via the biggest spend agency?,<40%,40-60%,60-80%,>80%,1%,2%,1.0%-2.0%,Streamline media expenditures and agency partnerships.,Leverage Competition Among Suppliers, Consolidate Volume, Streamline media spend/partnerships
MarketingTraditional MediaEnsure clear visibility and accountability throughout the digital value chain.,141,Marketing,Traditional Media,,,What is current share of spend that goes via the biggest spend agency?,<40%,40-60%,60-80%,>80%,4%,8%,4.0%-8.0%,Ensure clear visibility and accountability throughout the digital value chain.,Manage Spend, Improve Process Efficiency, Ensure digital value chain transparency
"MarketingCreative AgenciesMerge multiple agencies into one streamlined, efficient organization.",142,Marketing,Creative Agencies,,,What is current share of total agency spend of the biggest agency?,<40%,40-60%,60-80%,>80%,1%,2%,1.0%-2.0%,"Merge multiple agencies into one streamlined, efficient organization.",Leverage Competition Among Suppliers, Rationalize Supply Base, Merge agencies
MarketingDigital AgenciesMerge multiple agencies into a single entity to streamline operations and improve efficiency.,143,Marketing,Digital Agencies,,,What is current share of total agency spend of the biggest agency?,<40%,40-60%,60-80%,>80%,1%,1%,0.5%-1.0%,Merge multiple agencies into a single entity to streamline operations and improve efficiency.,Leverage Competition Among Suppliers, Rationalize Supply Base, Merge agencies
"MarketingPOS MaterialOptimize (harmonize, simplify etc) POS material",144,Marketing,POS Material,,,What is judged level of opportunity to optimize POS specifications?,Significant - idea not looked at in last 5 years,Good potential,Some potential,Low potential,1%,2%,1.0%-2.0%,"Optimize (harmonize, simplify etc) POS material",Change the Nature of Demand, Optimize Specifications, Optimize POS material
MarketingPOS MaterialConsolidate POS production inlcuding bringing an integrator,145,Marketing,POS Material,,,What is potential to consolidate suppliers?,Significant - several providers,Good potential,Some potential,Low potential,1%,2%,1.0%-2.0%,Consolidate POS production inlcuding bringing an integrator,Leverage Competition Among Suppliers, Rationalize Supply Base, Consolidate POS production
"MarketingAd ProductionPool productions is a versatile and efficient system designed to streamline and optimize production processes, ensuring maximum productivity and minimal waste.",146,Marketing,Ad Production,,,What is potential to pool productions?,Significant,Good potential,Some potential,Low potential,1%,2%,1.0%-2.0%,"Pool productions is a versatile and efficient system designed to streamline and optimize production processes, ensuring maximum productivity and minimal waste.",Manage Spend, Improve Process Efficiency, Implement production pooling
MarketingEventsOrganize event providers and categorize suppliers by type into rosters.,147,Marketing,Events,,,What is suppliers consolidation potential?,"Significant (silo approach across BUs, many providers, no aligned rosters)",Moderate,Some,Small (spend already consolidated to a few suppliers),1%,1%,0.5%-1.0%,Organize event providers and categorize suppliers by type into rosters.,Leverage Competition Among Suppliers, Rationalize Supply Base, Categorize/roster event suppliers
MarketingCreative AgenciesImplement an output-based fee structure supported by a should-cost model.,148,Marketing,Creative Agencies,,,What is the % of agency fee linked menu-based pricing (in work packages) established under competitve pressure?,Low (<25% of agency spend),Some,Good amount,Significant (60%-80%),1%,2%,1.0%-2.0%,Implement an output-based fee structure supported by a should-cost model.,Manage Spend, Control Compliance, Implement output-based fee structure
MarketingDigital AgenciesImplement an output-based fee structure supported by a should-cost model,149,Marketing,Digital Agencies,,,What is the % of agency fee linked menu-based pricing (in work packages) established under competitve pressure?,Low (<25% of agency spend),Some,Good amount,Significant (>60%<80%),1%,2%,1.0%-2.0%,Implement an output-based fee structure supported by a should-cost model,Change the Nature of Demand,Reduce Consumption,Implement DAM to reduce duplication
TravelAirMonitoring advance booking compliance ensures cost savings and efficient travel planning.,150,Travel,Air,,,What is the current compliance for Advance Air travel booking based on company policy?,Less than 50%,50-70%,70-90%,Above 90%,1%,1%,0.5%-1.0%,Monitoring advance booking compliance ensures cost savings and efficient travel planning.,Manage Spend, Control Compliance, Monitor advance booking compliance
TravelHotelEnsuring compliance with hotel booking policies optimizes travel spend and adherence to negotiated rates.,151,Travel,Hotel,,,What is the current compliance for Hotel booking via the TMC OBT (online booking tools)?,Less than 50%,50-70%,70-90%,Above 90%,1%,1%,0.5%-1.0%,Ensuring compliance with hotel booking policies optimizes travel spend and adherence to negotiated rates.,Manage Spend, Control Compliance, Ensure hotel booking policy compliance
TravelAirAdvance booking guidelines secure lower fares and reduce last-minute booking costs.,152,Travel,Air,,,What is the current policy guidelines for Advance Air travel booking?,No guidelines specified,Book at least 2 (14 days) weeks in advance,Book at least 3 weeks (21 days) in advance,Book at least 1 month in advance,1%,1%,0.5%-1.0%,Advance booking guidelines secure lower fares and reduce last-minute booking costs.,Manage Spend, Control Compliance, Implement advance booking guidelines
"Office SuppliesNAAllow employees to oder from an eCatalog, to ensure a simple and cost efficient process is used",153,Office Supplies,NA,,,What is the eCatalog coverage of the portfolio?,No info available,> 60% of the articles are covered in an e-catalog,> 80% of the articles are covered in an e-catalog,"100% of the demand is covered by the e-catalog, otherwise ordered articles are not accepted",1%,2%,1.0%-2.0%,"Allow employees to oder from an eCatalog, to ensure a simple and cost efficient process is used",Manage Spend, Improve Process Efficiency, Implement e-catalogs/self-ordering
"Temp LabourNAIn a VMS tool, profiles are made available for suppliers to quote on, with Prio 1 suppliers receiving profiles earlier and bidding sooner in exchange for an improved multiplier.",154,Temp Labour,NA,,,What is the general setup of the temp labour suppliers?,"Suppliers are in place since years, Bus hold relationships with them and provide the profile requests directly to them","Suppliers are bundled on a VMS platform, where profiles are provided centrally to a certain set of suppliers",Master Service Providers (MSP) are invited for RFPs on a regular basis and their capabilities are fully understood as well as preferential pricing,Suppliers are split in a Prio 1 and Prio 2 set- where Prio 1 suppliers receive profiles earlier and have change to bid earlier for them against the promise of an improved multiplier,1%,1%,0.5%-1.0%,"In a VMS tool, profiles are made available for suppliers to quote on, with Prio 1 suppliers receiving profiles earlier and bidding sooner in exchange for an improved multiplier.",Leverage Competition Among Suppliers, Competitive Bidding, Implement VMS with tiered bidding
MarketingTraditional MediaEnsure cost guarantees with a transparent compensation mechanism.,155,Marketing,Traditional Media,,,What is the guarantee type for price commitments?,No guarantee,only 'target' rates but not commitents,Hard commitment with compensation mechanizm good,All cost conditions are hard commitments,1%,2%,1.0%-2.0%,Ensure cost guarantees with a transparent compensation mechanism.,Manage Spend, Control Compliance, Ensure cost guarantees/transparent compensation
"MarketingTraditional MediaEstablish media rate commitments with detailed breakdowns of all price components, avoiding averages, at the most granular level.",156,Marketing,Traditional Media,,,What is the level of granurality for media rates commitments?,No rates/discounts commitments ,Only payrates committed (i.e. discounts off list price),Good granularity of rates - but not fully granular level,High - all rates are on most possible granular level,1%,2%,1.0%-2.0%,"Establish media rate commitments with detailed breakdowns of all price components, avoiding averages, at the most granular level.",Manage Spend, Control Compliance, Establish granular media rate commitments
MarketingTraditional MediaSet detailed CPM rate commitments at a highly granular level.,157,Marketing,Traditional Media,,,What is the level of granurality for media rates commitments?,No rates/discounts commitments ,Only payrates committed (i.e. discounts off list price),Good granularity of rates - but not fully granular level,High - all rates are on most possible granular level,4%,8%,4.0%-8.0%,Set detailed CPM rate commitments at a highly granular level.,Manage Spend, Control Compliance, Set granular CPM rate commitments
"MarketingEventsShare booths with other players. 
",158,Marketing,Events,,,What is the level of opportunity to share booths/ activation costs with other players?,Significant (over 50% of events by spend could do it),Good (30-50%),Moderate (10-30%),Small (below 10% of events by spend could do it),1%,2%,1.0%-2.0%,"Share booths with other players. 
",Change the Nature of Demand,Reduce Consumption,Share resources
MarketingAd ProductionImplement a user-friendly DAM system to minimize duplication.,159,Marketing,Ad Production,,,What is the opportunity to limit production duplication by encouraging more effective use of DAM system?,Significant,Good potential,Some potential,Low potential,1%,2%,1.0%-2.0%,Implement a user-friendly DAM system to minimize duplication.,Change the Nature of Demand, Reduce Complexity, Implement DAM to reduce duplication
"MarketingCreative AgenciesEnhance WOW with agency through improved processes, briefs, tools, capabilities, and P4P schemes.",160,Marketing,Creative Agencies,,,What is the opportunity to optimize WOW (process/roles/tools) between client and agencies?,"Significant (lack of established cooperation process, loose briefs etc) ",Good,Some,"little (processes for all types of campaigns development well established and followed, amount of 'free' agency iterations fixed, all agency feedback to agencies well coordinated) ",1%,2%,1.0%-2.0%,"Enhance WOW with agency through improved processes, briefs, tools, capabilities, and P4P schemes.",Seek Joint Advantage with Suppliers, Joint Process Improvement, Improve agency collaboration/processes
"MarketingAd ProductionFurther separate and expand the list of production providers, including post-production houses and directors.",161,Marketing,Ad Production,,,What is the potential for further decoupling and building rosters of post-production houses and directors?,Significant,Good potential,Some potential,Low potential,1%,2%,1.0%-2.0%,"Further separate and expand the list of production providers, including post-production houses and directors.",Leverage Competition Among Suppliers, Rationalize Supply Base, Expand production provider list
ITSoftware development and maintenanceIn-source labor with permanent contracts for consistent and reliable workforce integration.,162,IT,Software development and maintenance,,,What is the pricing mechansim of your contracts (e.g. time & material or fixed price)?,Majorly time & material,-,Time & material/ fixed price,Majorly fixed price,1%,2%,1.0%-2.0%,In-source labor with permanent contracts for consistent and reliable workforce integration.,Change the Nature of Demand, Optimize Labor Mix, Insourcing (permanent contracts)
"Real estateNACentralizing decision-making and improving information flow allows for a dynamic planning process to address excess space. This helps avoid disruption costs and enables more efficient space utilization, leading to cost savings",163,Real estate,NA,,,What is the procedure when too much empty space is found?,"Wait until the period comes up, when to exit the lease contract. ",Ask the landlord to reduce the time to exit the rental agreement for this space,Ask the landlord to reduce the time to exit the rental agreement for this space,"Re-negotiate with the landlord and ask for a sooner date to exit the agreement, also with the help ofthe board. If not agreement could be found: sub-lease the ground",2%,3%,1.5%-3.0%,"Centralizing decision-making and improving information flow allows for a dynamic planning process to address excess space. This helps avoid disruption costs and enables more efficient space utilization, leading to cost savings",Manage Spend, Improve Process Efficiency, Centralize decision-making/optimize space utilization
"Facility ManagementNAOutsourcing FM activities is a growing trend to reduce FM spending, decreasing in-house work proportion.",164,Facility Management,NA,,,What is the share of Facility Management services conducted in-house by your organization?,>50%,>40%,>20%,>10%,1%,2%,1.0%-2.0%,"Outsourcing FM activities is a growing trend to reduce FM spending, decreasing in-house work proportion.",Seek Joint Advantage with Suppliers, Outsourcing, Outsource FM activities
Facility ManagementNAThe share of the largest supplier shows consolidation and bundling potential. Aim to work with one or a few large providers covering all required categories and services.,165,Facility Management,NA,,,What is the share of spend from the largest supplier in the Facility Management area?,<20%,20-60%,60-80%,80-100%,1%,2%,1.0%-2.0%,The share of the largest supplier shows consolidation and bundling potential. Aim to work with one or a few large providers covering all required categories and services.,Leverage Competition Among Suppliers, Rationalize Supply Base, Consolidate with large providers
ITEnd user/ Workplace HardwareExtend desktop hardware lifespan to reduce replacement costs; phase out high-maintenance / outdated devices.,166,IT,End user/ Workplace Hardware,,,What is the standard lifetime of a laptop?,2 years and less,-,2-5 years,5+ years,1%,2%,1.0%-2.0%,Extend desktop hardware lifespan to reduce replacement costs; phase out high-maintenance / outdated devices.,Change the Nature of Demand, Optimize Asset Utilization, Extend asset lifespan
"TravelHotelSet hotel rate caps per city based on booking experience, accounting for peak demand times.",167,Travel,Hotel,,,What is the upper limit for hotel accommodation (per night)?,"Yes, anyone can submit a request",There is a flat rate,There is a dynamic rate,The travel agency defines it according to their average - in alignment with travel,2%,4%,2.0%-4.0%,"Set hotel rate caps per city based on booking experience, accounting for peak demand times.",Manage Spend, Control Compliance, Set hotel rate caps by city
"FleetWay of purchasingWithin a tender pre-define 1-2 commercially most attractive leasing car companies. They provide vehicles to customers for a set period and monthly fee, offering an alternative to buying a car outright.",168,Fleet,Way of purchasing,,,"What is the volume share of the defined leasing company (defined means tendered, negotiated and contracted leasing car company)",<50%,50-70%,70-90%,>90%,1%,2%,1.0%-2.0%,"Within a tender pre-define 1-2 commercially most attractive leasing car companies. They provide vehicles to customers for a set period and monthly fee, offering an alternative to buying a car outright.",Leverage Competition Among Suppliers, Competitive Bidding, Pre-define preferred leasing companies
ITDatacenter & NetworkShift from flat fee/unit cost to consumption-based pricing to enhance negotiation leverage; review and refine SLAs for voice/data networks.,169,IT,Datacenter & Network,,,What is your charging model?,Flat fee/unit cost,-,-,Consumption based fee,1%,1%,0.5%-1.0%,Shift from flat fee/unit cost to consumption-based pricing to enhance negotiation leverage; review and refine SLAs for voice/data networks.,Leverage Competition Among Suppliers, Target Pricing & Cost Models, Shift to consumption-based pricing
ITIT helpdeskUtilize off-shoring for commodity tasks to capitalize on lower costs in typical shoring countries.,170,IT,IT helpdesk,,,What is your degree of offshored FTEs for helpdesk compared to total FTEs (1st and 2nd line)?,<20%,20-60%,60-80%,80-100%,4%,7%,3.5%-7.0%,Utilize off-shoring for commodity tasks to capitalize on lower costs in typical shoring countries.,Seek Joint Advantage with Suppliers, Outsourcing, Utilize offshoring for commodity tasks
ITDatacenter & NetworkIntegrate/consolidate data centers to leverage economies of scale.,171,IT,Datacenter & Network,,,"What is your degree of virtualization (number of server-based applications on IaaS, PaaS, SaaS compared to total software)?",<20%,20-60%,60-80%,80-100%,4%,8%,4.0%-8.0%,Integrate/consolidate data centers to leverage economies of scale.,Change the Nature of Demand, Reduce Complexity, Consolidate data centers
ConsultingNAAs a standard use Game-theory based methods e.g. auctions or supplier-days. Ensure that the teams are regularly trained in these methods.,172,Consulting,NA,,,What methods are used in the negotiation?,"Direct negotiations, buyers professionally ask suppliers to generally reduce the price a bit",Clear price benchmarks are made and communicated to the supplier,2 rounds of negotiations are conducted,"Game-theory based methods are used, e.g. auctions or supplier-days",1%,1%,0.5%-1.0%,As a standard use Game-theory based methods e.g. auctions or supplier-days. Ensure that the teams are regularly trained in these methods.,Leverage Competition Among Suppliers, Competitive Bidding, Use game-theory based methods (auctions/supplier days)
MarketingEventsSourcing event materials from low-cost countries reduces overall expenses.,173,Marketing,Events,,,What opportunity exists to source events materials (e.g. boths) from low cost countries?,Significant,Good,Moderate,Small,1%,2%,1.0%-2.0%,Sourcing event materials from low-cost countries reduces overall expenses.,Leverage Competition Among Suppliers, Global Sourcing, Source from low-cost countries (event materials)
"LegalNAIf there are manageable legal cases, they can be handled in-house instead of being outsourced.",174,Legal,NA,,,What percentage of legal matters are handled internally by the internal legal department?,0%,1-15%,15-30%,>30%,1%,2%,1.0%-2.0%,"If there are manageable legal cases, they can be handled in-house instead of being outsourced.",Change the Nature of Demand, Reduce Consumption, Insourcing (legal cases)
"ITDatacenter & NetworkStandardize network and datacenter infrastructure (e.g. switches, routes, firewalls) and/or outsource complete maintenance and support.",175,IT,Datacenter & Network,,,What percentage of network infrastructure is standardized?,<20%,20-60%,60-80%,80-100%,1%,2%,1.0%-2.0%,"Standardize network and datacenter infrastructure (e.g. switches, routes, firewalls) and/or outsource complete maintenance and support.",Change the Nature of Demand, Optimize Specifications, Standardize infrastructure / Outsource maintenance
"PackagingNAStreamlining specifications, whether done internally or collaboratively with suppliers, cuts costs by minimizing material usage and simplifying processes. Additionally, harmonizing SKUs across plants consolidates volumes and drives economies of scale.",176,Packaging,NA,,,What percentage of specifications is yearly challenged or optimized?,<20%,20-60%,60-80%,80-100%,5%,9%,4.5%-9.0%,"Streamlining specifications, whether done internally or collaboratively with suppliers, cuts costs by minimizing material usage and simplifying processes. Additionally, harmonizing SKUs across plants consolidates volumes and drives economies of scale.",Change the Nature of Demand, Optimize Specifications, Streamline/harmonize specifications
"ITEnd user/ Workplace HardwareExpand outsourcing and utilize shoring opportunities, such as for IMAC services.",177,IT,End user/ Workplace Hardware,,,What percentage of the End user/ Workplace services is outsourced?,<20%,20-60%,60-80%,80-100%,3%,5%,2.5%-5.0%,"Expand outsourcing and utilize shoring opportunities, such as for IMAC services.",Seek Joint Advantage with Suppliers, Outsourcing, Expand outsourcing/shoring (IMAC)
"ITSoftware development and maintenanceOutsource maintenance and support for enterprise applications such as SAP, Oracle etc. and re-negotiate SLA levels.",178,IT,Software development and maintenance,,,What percentage of the software maintenance is outsourced?,<20%,20-60%,60-80%,80-100%,1%,2%,1.0%-2.0%,"Outsource maintenance and support for enterprise applications such as SAP, Oracle etc. and re-negotiate SLA levels.",Seek Joint Advantage with Suppliers, Outsourcing, Outsource application maintenance/support
"MRONAElectronic and system orders reduce effort for both your company and the supplier. Besides internal process cost savings, suppliers often grant additional discounts if a certain proportion of orders are processed electronically.",179,MRO,NA,,,What percentage of the spend is ordered via e-catalogue?,<30%,30-50%,50-60%,>75%,1%,2%,1.0%-2.0%,"Electronic and system orders reduce effort for both your company and the supplier. Besides internal process cost savings, suppliers often grant additional discounts if a certain proportion of orders are processed electronically.",Manage Spend, Improve Process Efficiency, Implement electronic/system orders
"PackagingNAExisting data on a sourcing group is analyzed in depth to identify any savings potential. For instance, this may include comparing the discount rates within a corporate group.",180,Packaging,NA,,,What percentage of total category volume did you tender or negotiate last year?,<25%,25-50%,50-75%,75-100%,4%,8%,4.0%-8.0%,"Existing data on a sourcing group is analyzed in depth to identify any savings potential. For instance, this may include comparing the discount rates within a corporate group.",Leverage Competition Among Suppliers, Target Pricing & Cost Models, Data analysis for savings potential
"Facility ManagementNAHigh bundling across categories helps streamline the supplier landscape, leverage efficiencies, and gain volume discounts and improved services.",181,Facility Management,NA,,,What services are bundled within Facility Management?,None,Few services in a plant,-,All services (soft & hard),1%,2%,1.0%-2.0%,"High bundling across categories helps streamline the supplier landscape, leverage efficiencies, and gain volume discounts and improved services.",Leverage Competition Among Suppliers, Consolidate Volume, Bundle across categories
"LogisticsRoad LogisticsDue to the market's fragmented nature, a comprehensive supplier list is crucial for the best rates, even though benefits diminish beyond the 100th carrier.",182,Logistics,Road Logistics,,,What share of spend do you award on spot basis?,>80%,60-80%,40-60%,<40%,0%,1%,0.3%-0.5%,"Due to the market's fragmented nature, a comprehensive supplier list is crucial for the best rates, even though benefits diminish beyond the 100th carrier.",Leverage Competition Among Suppliers, Competitive Bidding, Maintain comprehensive supplier list
